,id,longitude,latitude,time,NDVI,EVI,DetailedQA,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,ViewZenith,SolarZenith,RelativeAzimuth,DayOfYear,SummaryQA,datetime
0,0,13.462377426636179,53.073589879886484,2001.0,6544.826086956522,3079.086956521739,6673.739130434783,370.2608695652174,1918.608695652174,266.4347826086956,417.9130434782609,2635.3478260869565,5423.086956521739,-103.52173913043478,185.08695652173913,0.6956521739130435,1970-01-01
1,1,13.462377426636179,53.073589879886484,2002.0,7270.565217391304,3268.3478260869565,6349.434782608696,301.7826086956522,1911.6521739130435,205.91304347826087,399.0869565217391,2268.782608695652,5324.739130434783,3807.0,184.7391304347826,0.6956521739130435,1970-01-01
2,2,13.462377426636179,53.073589879886484,2003.0,5972.739130434783,2923.0434782608695,5249.173913043478,643.3478260869565,2124.0434782608695,562.695652173913,556.304347826087,1759.391304347826,5372.782608695652,5207.434782608696,169.2608695652174,1.0,1970-01-01
3,3,13.462377426636179,53.073589879886484,2004.0,6831.652173913043,3238.8260869565215,5996.521739130435,360.8695652173913,1952.8695652173913,317.4347826086956,438.82608695652175,2426.608695652174,5399.739130434783,4564.782608695652,167.91304347826087,0.9130434782608695,1970-01-01
4,4,13.462377426636179,53.073589879886484,2005.0,6989.739130434783,2974.2608695652175,5767.565217391304,334.1304347826087,1785.2608695652175,268.04347826086956,412.7826086956522,1534.2608695652175,5387.521739130435,1101.4347826086957,184.08695652173913,0.5652173913043478,1970-01-01
5,0,13.464623214846478,53.073589879886484,2001.0,6544.826086956522,3079.086956521739,6673.739130434783,370.2608695652174,1918.608695652174,266.4347826086956,417.9130434782609,2635.3478260869565,5423.086956521739,-103.52173913043478,185.08695652173913,0.6956521739130435,1970-01-01
6,1,13.464623214846478,53.073589879886484,2002.0,7270.565217391304,3268.3478260869565,6349.434782608696,301.7826086956522,1911.6521739130435,205.91304347826087,399.0869565217391,2268.782608695652,5324.739130434783,3807.0,184.7391304347826,0.6956521739130435,1970-01-01
7,2,13.464623214846478,53.073589879886484,2003.0,5972.739130434783,2923.0434782608695,5249.173913043478,643.3478260869565,2124.0434782608695,562.695652173913,556.304347826087,1759.391304347826,5372.782608695652,5207.434782608696,169.2608695652174,1.0,1970-01-01
8,3,13.464623214846478,53.073589879886484,2004.0,6831.652173913043,3238.8260869565215,5996.521739130435,360.8695652173913,1952.8695652173913,317.4347826086956,438.82608695652175,2426.608695652174,5399.739130434783,4564.782608695652,167.91304347826087,0.9130434782608695,1970-01-01
9,4,13.464623214846478,53.073589879886484,2005.0,6989.739130434783,2974.2608695652175,5767.565217391304,334.1304347826087,1785.2608695652175,268.04347826086956,412.7826086956522,1534.2608695652175,5387.521739130435,1101.4347826086957,184.08695652173913,0.5652173913043478,1970-01-01
10,0,13.466869003056777,53.073589879886484,2001.0,6688.347826086957,3036.913043478261,6673.739130434783,353.1304347826087,1855.695652173913,266.4347826086956,417.9130434782609,2635.3478260869565,5423.086956521739,-103.52173913043478,185.08695652173913,0.6956521739130435,1970-01-01
11,1,13.466869003056777,53.073589879886484,2002.0,7266.304347826087,3292.1304347826085,6349.434782608696,299.2608695652174,1921.8695652173913,205.91304347826087,399.0869565217391,2268.782608695652,5324.739130434783,3807.0,184.7391304347826,0.6956521739130435,1970-01-01
12,2,13.466869003056777,53.073589879886484,2003.0,6276.304347826087,3049.1304347826085,5249.173913043478,565.0869565217391,2097.3478260869565,562.695652173913,556.304347826087,1759.391304347826,5372.782608695652,5207.434782608696,169.2608695652174,1.0,1970-01-01
13,3,13.466869003056777,53.073589879886484,2004.0,6926.863636363636,3256.181818181818,5996.521739130435,344.1363636363636,1926.0434782608695,317.4347826086956,438.82608695652175,2426.608695652174,5399.739130434783,4564.782608695652,167.91304347826087,0.9130434782608695,1970-01-01
14,4,13.466869003056777,53.073589879886484,2005.0,7076.913043478261,3085.913043478261,5767.565217391304,329.9130434782609,1842.695652173913,268.04347826086956,412.7826086956522,1534.2608695652175,5387.521739130435,1101.4347826086957,184.08695652173913,0.5652173913043478,1970-01-01
15,0,13.469114791267076,53.073589879886484,2001.0,6627.217391304348,2944.478260869565,7213.695652173913,353.04347826086956,1811.4347826086957,271.5652173913044,433.5217391304348,2489.478260869565,5409.521739130435,-820.3913043478261,184.34782608695653,0.6086956521739131,1970-01-01
16,1,13.469114791267076,53.073589879886484,2002.0,7261.95652173913,3351.8695652173915,6277.086956521739,312.0869565217391,1940.0869565217392,234.52173913043478,434.2173913043478,2269.1739130434785,5324.695652173913,3816.1739130434785,184.7391304347826,0.6956521739130435,1970-01-01
17,2,13.469114791267076,53.073589879886484,2003.0,6436.304347826087,3224.9565217391305,3629.5652173913045,817.2173913043479,2432.3478260869565,656.695652173913,699.8260869565217,1700.7391304347825,5383.173913043478,6311.260869565217,168.82608695652175,1.0,1970-01-01
18,3,13.469114791267076,53.073589879886484,2004.0,6590.782608695652,3161.304347826087,5767.652173913043,524.6521739130435,2100.5652173913045,449.1304347826087,518.8695652173913,2494.3478260869565,5414.130434782609,3100.478260869565,168.69565217391303,0.9130434782608695,1970-01-01
19,4,13.469114791267076,53.073589879886484,2005.0,7066.478260869565,3038.8260869565215,6951.04347826087,327.30434782608694,1844.695652173913,233.6086956521739,392.7826086956522,1427.0434782608695,5388.0,-116.3913043478261,184.65217391304347,0.5217391304347826,1970-01-01
20,0,13.471360579477375,53.073589879886484,2001.0,6627.217391304348,2944.478260869565,7213.695652173913,353.04347826086956,1811.4347826086957,271.5652173913044,433.5217391304348,2489.478260869565,5409.521739130435,-820.3913043478261,184.34782608695653,0.6086956521739131,1970-01-01
21,1,13.471360579477375,53.073589879886484,2002.0,7261.95652173913,3351.8695652173915,6277.086956521739,312.0869565217391,1940.0869565217392,234.52173913043478,434.2173913043478,2269.1739130434785,5324.695652173913,3816.1739130434785,184.7391304347826,0.6956521739130435,1970-01-01
22,2,13.471360579477375,53.073589879886484,2003.0,6436.304347826087,3224.9565217391305,3629.5652173913045,817.2173913043479,2432.3478260869565,656.695652173913,699.8260869565217,1700.7391304347825,5383.173913043478,6311.260869565217,168.82608695652175,1.0,1970-01-01
23,3,13.471360579477375,53.073589879886484,2004.0,6590.782608695652,3161.304347826087,5767.652173913043,524.6521739130435,2100.5652173913045,449.1304347826087,518.8695652173913,2494.3478260869565,5414.130434782609,3100.478260869565,168.69565217391303,0.9130434782608695,1970-01-01
24,4,13.471360579477375,53.073589879886484,2005.0,7066.478260869565,3038.8260869565215,6951.04347826087,327.30434782608694,1844.695652173913,233.6086956521739,392.7826086956522,1427.0434782608695,5388.0,-116.3913043478261,184.65217391304347,0.5217391304347826,1970-01-01
25,0,13.473606367687674,53.073589879886484,2001.0,6861.173913043478,3125.5652173913045,7213.695652173913,333.04347826086956,1875.391304347826,271.5652173913044,433.5217391304348,2489.478260869565,5409.521739130435,-820.3913043478261,184.34782608695653,0.6086956521739131,1970-01-01
26,1,13.473606367687674,53.073589879886484,2002.0,7216.478260869565,3273.913043478261,6277.086956521739,374.8695652173913,2012.695652173913,234.52173913043478,434.2173913043478,2269.1739130434785,5324.695652173913,3816.1739130434785,184.7391304347826,0.6956521739130435,1970-01-01
27,2,13.473606367687674,53.073589879886484,2003.0,6516.565217391304,3264.5652173913045,3629.5652173913045,793.1739130434783,2394.782608695652,656.695652173913,699.8260869565217,1700.7391304347825,5383.173913043478,6311.260869565217,168.82608695652175,1.0,1970-01-01
28,3,13.473606367687674,53.073589879886484,2004.0,6779.173913043478,3260.782608695652,5767.652173913043,584.1304347826087,2203.1304347826085,449.1304347826087,518.8695652173913,2494.3478260869565,5414.130434782609,3100.478260869565,168.69565217391303,0.9130434782608695,1970-01-01
29,4,13.473606367687674,53.073589879886484,2005.0,7094.260869565217,3058.913043478261,6951.04347826087,327.30434782608694,1857.5652173913043,233.6086956521739,392.7826086956522,1427.0434782608695,5388.0,-116.3913043478261,184.65217391304347,0.5217391304347826,1970-01-01
30,0,13.475852155897972,53.073589879886484,2001.0,6910.260869565217,3203.0434782608695,6932.826086956522,327.04347826086956,1890.695652173913,277.1304347826087,436.8695652173913,2738.6521739130435,5447.173913043478,-845.0,184.30434782608697,0.6956521739130435,1970-01-01
31,1,13.475852155897972,53.073589879886484,2002.0,7424.826086956522,3410.913043478261,7407.695652173913,310.7826086956522,2030.5217391304348,212.56521739130434,386.30434782608694,2337.6521739130435,5353.913043478261,3918.217391304348,185.2608695652174,0.6956521739130435,1970-01-01
32,2,13.475852155897972,53.073589879886484,2003.0,6703.565217391304,3651.608695652174,3437.6521739130435,568.8260869565217,2323.8260869565215,605.304347826087,643.4347826086956,1831.8260869565217,5383.304347826087,6333.608695652174,169.69565217391303,1.0869565217391304,1970-01-01
33,3,13.475852155897972,53.073589879886484,2004.0,7190.260869565217,3570.8260869565215,4081.217391304348,354.0869565217391,2116.782608695652,311.82608695652175,483.2608695652174,2495.0434782608695,5443.173913043478,3173.695652173913,168.17391304347825,0.9130434782608695,1970-01-01
34,4,13.475852155897972,53.073589879886484,2005.0,7188.391304347826,3150.4347826086955,5042.0,324.2608695652174,1896.7826086956522,276.69565217391306,434.7391304347826,1372.4782608695652,5383.304347826087,1262.2608695652175,184.56521739130434,0.5652173913043478,1970-01-01
35,0,13.47809794410827,53.073589879886484,2001.0,6910.260869565217,3203.0434782608695,6932.826086956522,327.04347826086956,1890.695652173913,277.1304347826087,436.8695652173913,2738.6521739130435,5447.173913043478,-845.0,184.30434782608697,0.6956521739130435,1970-01-01
36,1,13.47809794410827,53.073589879886484,2002.0,7424.826086956522,3410.913043478261,7407.695652173913,310.7826086956522,2030.5217391304348,212.56521739130434,386.30434782608694,2337.6521739130435,5353.913043478261,3918.217391304348,185.2608695652174,0.6956521739130435,1970-01-01
37,2,13.47809794410827,53.073589879886484,2003.0,6703.565217391304,3651.608695652174,3437.6521739130435,568.8260869565217,2323.8260869565215,605.304347826087,643.4347826086956,1831.8260869565217,5383.304347826087,6333.608695652174,169.69565217391303,1.0869565217391304,1970-01-01
38,3,13.47809794410827,53.073589879886484,2004.0,7190.260869565217,3570.8260869565215,4081.217391304348,354.0869565217391,2116.782608695652,311.82608695652175,483.2608695652174,2495.0434782608695,5443.173913043478,3173.695652173913,168.17391304347825,0.9130434782608695,1970-01-01
39,4,13.47809794410827,53.073589879886484,2005.0,7188.391304347826,3150.4347826086955,5042.0,324.2608695652174,1896.7826086956522,276.69565217391306,434.7391304347826,1372.4782608695652,5383.304347826087,1262.2608695652175,184.56521739130434,0.5652173913043478,1970-01-01
40,0,13.48034373231857,53.073589879886484,2001.0,7051.130434782609,3258.304347826087,6932.826086956522,322.7826086956522,1916.0,277.1304347826087,436.8695652173913,2738.6521739130435,5447.173913043478,-845.0,184.30434782608697,0.6956521739130435,1970-01-01
41,1,13.48034373231857,53.073589879886484,2002.0,7291.347826086957,3458.0,7407.695652173913,328.0869565217391,2077.6521739130435,212.56521739130434,386.30434782608694,2337.6521739130435,5353.913043478261,3918.217391304348,185.2608695652174,0.6956521739130435,1970-01-01
42,2,13.48034373231857,53.073589879886484,2003.0,6692.695652173913,3462.0,3437.6521739130435,572.5652173913044,2290.5652173913045,605.304347826087,643.4347826086956,1831.8260869565217,5383.304347826087,6333.608695652174,169.69565217391303,1.0869565217391304,1970-01-01
43,3,13.48034373231857,53.073589879886484,2004.0,7129.130434782609,3602.0,4081.217391304348,384.5217391304348,2172.9565217391305,311.82608695652175,483.2608695652174,2495.0434782608695,5443.173913043478,3173.695652173913,168.17391304347825,0.9130434782608695,1970-01-01
44,4,13.48034373231857,53.073589879886484,2005.0,7095.608695652174,3171.478260869565,5042.0,347.95652173913044,1936.8260869565217,276.69565217391306,434.7391304347826,1372.4782608695652,5383.304347826087,1262.2608695652175,184.56521739130434,0.5652173913043478,1970-01-01
45,0,13.482589520528869,53.073589879886484,2001.0,7019.608695652174,3207.608695652174,6570.739130434783,361.82608695652175,1921.695652173913,322.8695652173913,575.8260869565217,2646.521739130435,5419.608695652174,-121.65217391304348,184.8695652173913,0.6956521739130435,1970-01-01
46,1,13.482589520528869,53.073589879886484,2002.0,7270.565217391304,3483.391304347826,5826.565217391304,354.30434782608694,2078.304347826087,269.60869565217394,523.3913043478261,2263.304347826087,5340.347826086957,3077.9565217391305,184.1304347826087,0.6956521739130435,1970-01-01
47,2,13.482589520528869,53.073589879886484,2003.0,6487.608695652174,3516.695652173913,4787.652173913043,677.0869565217391,2407.1739130434785,736.0,774.9130434782609,2309.1304347826085,5390.695652173913,5757.695652173913,169.47826086956522,1.0869565217391304,1970-01-01
48,3,13.482589520528869,53.073589879886484,2004.0,7005.913043478261,3553.0,3719.1304347826085,402.04347826086956,2129.8695652173915,396.60869565217394,585.1304347826087,2370.9565217391305,5400.0,4700.521739130435,168.1304347826087,0.9130434782608695,1970-01-01
49,4,13.482589520528869,53.073589879886484,2005.0,7119.217391304348,3169.1739130434785,4907.913043478261,341.2173913043478,1898.304347826087,281.60869565217394,538.304347826087,1192.9130434782608,5377.652173913043,1512.9565217391305,185.47826086956522,0.5652173913043478,1970-01-01
50,0,13.484835308739168,53.073589879886484,2001.0,7019.608695652174,3207.608695652174,6570.739130434783,361.82608695652175,1921.695652173913,322.8695652173913,575.8260869565217,2646.521739130435,5419.608695652174,-121.65217391304348,184.8695652173913,0.6956521739130435,1970-01-01
51,1,13.484835308739168,53.073589879886484,2002.0,7270.565217391304,3483.391304347826,5826.565217391304,354.30434782608694,2078.304347826087,269.60869565217394,523.3913043478261,2263.304347826087,5340.347826086957,3077.9565217391305,184.1304347826087,0.6956521739130435,1970-01-01
52,2,13.484835308739168,53.073589879886484,2003.0,6487.608695652174,3516.695652173913,4787.652173913043,677.0869565217391,2407.1739130434785,736.0,774.9130434782609,2309.1304347826085,5390.695652173913,5757.695652173913,169.47826086956522,1.0869565217391304,1970-01-01
53,3,13.484835308739168,53.073589879886484,2004.0,7005.913043478261,3553.0,3719.1304347826085,402.04347826086956,2129.8695652173915,396.60869565217394,585.1304347826087,2370.9565217391305,5400.0,4700.521739130435,168.1304347826087,0.9130434782608695,1970-01-01
54,4,13.484835308739168,53.073589879886484,2005.0,7119.217391304348,3169.1739130434785,4907.913043478261,341.2173913043478,1898.304347826087,281.60869565217394,538.304347826087,1192.9130434782608,5377.652173913043,1512.9565217391305,185.47826086956522,0.5652173913043478,1970-01-01
55,0,13.462377426636179,53.07583566809678,2001.0,6475.565217391304,3193.7391304347825,6504.0,398.7391304347826,2007.0869565217392,326.95652173913044,607.4347826086956,2537.521739130435,5413.652173913043,-257.82608695652175,184.43478260869566,0.6521739130434783,1970-01-01
56,1,13.462377426636179,53.07583566809678,2002.0,7095.04347826087,3360.217391304348,7340.565217391304,332.4347826086956,1992.9565217391305,240.30434782608697,579.5652173913044,2363.1739130434785,5324.608695652174,4564.739130434783,184.65217391304347,0.7391304347826086,1970-01-01
57,2,13.462377426636179,53.07583566809678,2003.0,5862.739130434783,3054.217391304348,3975.478260869565,807.3478260869565,2301.521739130435,800.304347826087,816.2608695652174,2133.695652173913,5380.0,4401.04347826087,169.6086956521739,1.2608695652173914,1970-01-01
58,3,13.462377426636179,53.07583566809678,2004.0,6652.95652173913,3461.2608695652175,5506.260869565217,420.4782608695652,2070.478260869565,389.95652173913044,657.4347826086956,2558.695652173913,5410.391304347826,3830.9565217391305,168.17391304347825,0.9130434782608695,1970-01-01
59,4,13.462377426636179,53.07583566809678,2005.0,6848.130434782609,3255.217391304348,4804.739130434783,395.5652173913044,2018.304347826087,340.17391304347825,663.695652173913,1566.1304347826087,5397.565217391304,837.1304347826087,184.04347826086956,0.4782608695652174,1970-01-01
60,0,13.464623214846478,53.07583566809678,2001.0,6475.565217391304,3193.7391304347825,6504.0,398.7391304347826,2007.0869565217392,326.95652173913044,607.4347826086956,2537.521739130435,5413.652173913043,-257.82608695652175,184.43478260869566,0.6521739130434783,1970-01-01
61,1,13.464623214846478,53.07583566809678,2002.0,7095.04347826087,3360.217391304348,7340.565217391304,332.4347826086956,1992.9565217391305,240.30434782608697,579.5652173913044,2363.1739130434785,5324.608695652174,4564.739130434783,184.65217391304347,0.7391304347826086,1970-01-01
62,2,13.464623214846478,53.07583566809678,2003.0,5862.739130434783,3054.217391304348,3975.478260869565,807.3478260869565,2301.521739130435,800.304347826087,816.2608695652174,2133.695652173913,5380.0,4401.04347826087,169.6086956521739,1.2608695652173914,1970-01-01
63,3,13.464623214846478,53.07583566809678,2004.0,6652.95652173913,3461.2608695652175,5506.260869565217,420.4782608695652,2070.478260869565,389.95652173913044,657.4347826086956,2558.695652173913,5410.391304347826,3830.9565217391305,168.17391304347825,0.9130434782608695,1970-01-01
64,4,13.464623214846478,53.07583566809678,2005.0,6848.130434782609,3255.217391304348,4804.739130434783,395.5652173913044,2018.304347826087,340.17391304347825,663.695652173913,1566.1304347826087,5397.565217391304,837.1304347826087,184.04347826086956,0.4782608695652174,1970-01-01
65,0,13.466869003056777,53.07583566809678,2001.0,6350.086956521739,3249.1739130434785,6504.0,474.60869565217394,2164.304347826087,326.95652173913044,607.4347826086956,2537.521739130435,5413.652173913043,-257.82608695652175,184.43478260869566,0.6521739130434783,1970-01-01
66,1,13.466869003056777,53.07583566809678,2002.0,7110.565217391304,3431.4347826086955,7340.565217391304,333.6521739130435,2044.0434782608695,240.30434782608697,579.5652173913044,2363.1739130434785,5324.608695652174,4564.739130434783,184.65217391304347,0.7391304347826086,1970-01-01
67,2,13.466869003056777,53.07583566809678,2003.0,5726.521739130435,3031.217391304348,3975.478260869565,972.0869565217391,2506.1739130434785,800.304347826087,816.2608695652174,2133.695652173913,5380.0,4401.04347826087,169.6086956521739,1.2608695652173914,1970-01-01
68,3,13.466869003056777,53.07583566809678,2004.0,6520.04347826087,3421.4347826086955,5506.260869565217,448.60869565217394,2122.217391304348,389.95652173913044,657.4347826086956,2558.695652173913,5410.391304347826,3830.9565217391305,168.17391304347825,0.9130434782608695,1970-01-01
69,4,13.466869003056777,53.07583566809678,2005.0,6798.869565217391,3219.608695652174,4804.739130434783,392.69565217391306,2001.1739130434783,340.17391304347825,663.695652173913,1566.1304347826087,5397.565217391304,837.1304347826087,184.04347826086956,0.4782608695652174,1970-01-01
70,0,13.469114791267076,53.07583566809678,2001.0,6228.782608695652,3313.2608695652175,7834.565217391304,543.8260869565217,2209.913043478261,539.4782608695652,805.8695652173913,2434.8695652173915,5410.173913043478,932.7826086956521,183.17391304347825,0.6086956521739131,1970-01-01
71,1,13.469114791267076,53.07583566809678,2002.0,7036.478260869565,3523.304347826087,8434.434782608696,364.3478260869565,2104.3478260869565,281.0869565217391,702.6521739130435,2284.086956521739,5335.391304347826,3774.478260869565,184.6086956521739,0.6086956521739131,1970-01-01
72,2,13.469114791267076,53.07583566809678,2003.0,5865.739130434783,3006.1739130434785,3594.5652173913045,747.7391304347826,2260.217391304348,634.5217391304348,857.8695652173913,2074.913043478261,5355.565217391304,6512.260869565217,169.30434782608697,1.173913043478261,1970-01-01
73,3,13.469114791267076,53.07583566809678,2004.0,6578.652173913043,3367.695652173913,5233.217391304348,460.39130434782606,2152.217391304348,481.0869565217391,728.1739130434783,2470.1739130434785,5419.086956521739,3891.782608695652,167.95652173913044,0.9130434782608695,1970-01-01
74,4,13.469114791267076,53.07583566809678,2005.0,6575.130434782609,3038.8260869565215,4551.739130434783,417.7826086956522,1972.2173913043478,351.2173913043478,622.0869565217391,1374.1739130434783,5383.608695652174,386.04347826086956,184.56521739130434,0.5652173913043478,1970-01-01
75,0,13.471360579477375,53.07583566809678,2001.0,6228.782608695652,3313.2608695652175,7834.565217391304,543.8260869565217,2209.913043478261,539.4782608695652,805.8695652173913,2434.8695652173915,5410.173913043478,932.7826086956521,183.17391304347825,0.6086956521739131,1970-01-01
76,1,13.471360579477375,53.07583566809678,2002.0,7036.478260869565,3523.304347826087,8434.434782608696,364.3478260869565,2104.3478260869565,281.0869565217391,702.6521739130435,2284.086956521739,5335.391304347826,3774.478260869565,184.6086956521739,0.6086956521739131,1970-01-01
77,2,13.471360579477375,53.07583566809678,2003.0,5865.739130434783,3006.1739130434785,3594.5652173913045,747.7391304347826,2260.217391304348,634.5217391304348,857.8695652173913,2074.913043478261,5355.565217391304,6512.260869565217,169.30434782608697,1.173913043478261,1970-01-01
78,3,13.471360579477375,53.07583566809678,2004.0,6578.652173913043,3367.695652173913,5233.217391304348,460.39130434782606,2152.217391304348,481.0869565217391,728.1739130434783,2470.1739130434785,5419.086956521739,3891.782608695652,167.95652173913044,0.9130434782608695,1970-01-01
79,4,13.471360579477375,53.07583566809678,2005.0,6575.130434782609,3038.8260869565215,4551.739130434783,417.7826086956522,1972.2173913043478,351.2173913043478,622.0869565217391,1374.1739130434783,5383.608695652174,386.04347826086956,184.56521739130434,0.5652173913043478,1970-01-01
80,0,13.473606367687674,53.07583566809678,2001.0,6571.565217391304,3350.478260869565,7834.565217391304,477.60869565217394,2086.782608695652,539.4782608695652,805.8695652173913,2434.8695652173915,5410.173913043478,932.7826086956521,183.17391304347825,0.6086956521739131,1970-01-01
